Object,qid,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,Score,Rank
4176,3,0,0.309,0.608,0.533,0.295,0.5,0.267,0.451,0.834,0,0.774,0.867,0.686,0.555,0.226,-2.4985,9823
4177,3,0,0.572,0.619,0.703,0.449,0.244,0.75,0.704,0.69,0,0.522,0.849,0.106,0.588,0.051,3.3785,6843
4178,3,1,0.172,0.44,0.123,0.026,0.721,0.155,0.151,0.591,0,0.599,0.849,0.633,0.951,0.569,-4.409,9975
4179,3,0,0.035,0.137,0.814,0.58,0.088,0.802,0.149,0.451,0,0.114,0.011,0.183,0.681,0.17,10.4655,844
4180,3,0,0.712,0.476,0.775,0.612,0.826,0.015,0.782,0.804,1,0.43,0.335,0.271,0.008,0.57,3.275,6926
4181,3,1,0.203,0.509,0.002,0.834,0.114,0.98,0.868,0.878,0,0.155,0.2,0.772,0.853,0.193,6.5825,3610
4182,3,0,0.232,0.342,0.802,0.769,0.986,0.554,0.364,0.701,1,0.456,0.998,0.588,0.682,0.82,6.086,4093
4183,3,0,0.237,0.325,0.576,0.673,0.165,0.54,0.976,0.498,0,0.457,0.484,0.586,0.165,0.028,4.36,5890
4184,3,1,0.004,0.832,0.113,0.083,0.413,0.237,0.74,0.885,1,0.327,0.587,0.153,0.202,0.243,-2.302,9803
4185,3,0,0.426,0.133,0.305,0.501,0.575,0.722,0.774,0.072,1,0.031,0.136,0.022,0.261,0.151,10.244,939
4186,3,0,0.144,0.778,0.546,0.544,0.109,0.181,0.891,0.762,0,0.969,0.768,0.757,0.674,0.832,-0.5755,9379
4187,3,1,0.743,0.439,0.526,0.958,0.019,0.577,0.544,0.615,0,0.415,0.616,0.04,0.699,0.329,5.9075,4286
4188,3,1,0.75,0.807,0.443,0.179,0.208,0.937,0.147,0.26,0,0.34,0.397,0.308,0.896,0.997,9.2385,1499
4189,3,0,0.84,0.744,0.222,0.698,0.553,0.858,0.117,0.583,1,0.713,0.857,0.58,0.802,0.392,7.3205,2939
4190,3,1,0.118,0.459,0.899,0.864,0.222,0.958,0.264,0.411,0,0.886,0.779,0.818,0.263,0.119,9.6195,1275
4191,3,0,0.645,0.624,0.315,0.134,0.348,0.885,0.158,0.466,1,0.271,0.521,0.046,0.463,0.347,7.2485,2998
4192,3,0,0.915,0.814,0.85,0.063,0.011,0.332,0.976,0.996,1,0.34,0.877,0.985,0.996,0.69,0.1665,9083
4193,3,1,0.857,0.668,0.496,0.887,0.481,0.004,0.56,0.707,0,0.716,0.709,0.54,0.607,0.273,-0.041,9184
4194,3,1,0.742,0.216,0.122,0.476,0.271,0.831,0.441,0.846,1,0.258,0.139,0.189,0.88,0.97,8.063,2295
4195,3,1,0.473,0.017,0.201,0.416,0.89,0.235,0.69,0.61,0,0.863,0.066,0.713,0.089,0.263,0.9105,8709
4196,3,1,0.843,0.986,0.172,0.479,0.685,0.343,0.872,0.19,0,0.858,0.892,0.217,0.768,0.83,1.7685,8162
4197,3,0,0.31,0.014,0.561,0.78,0.698,0.203,0.215,0.074,1,0.968,0.805,0.637,0.577,0.669,5.8465,4350
4198,3,0,0.24,0.164,0.909,0.405,0.315,0.397,0.754,0.597,1,0.274,0.821,0.333,0.434,0.571,3.9965,6228
4199,3,0,0.487,0.869,0.622,0.984,0.419,0.484,0.365,0.751,1,0.056,0.368,0.095,0.413,0.866,9.7035,1224
4200,3,0,0.922,0.665,0.162,0.292,0.766,0.02,0.52,0.378,0,0.857,0.053,0.092,0.834,0.309,0.754,8799
4201,3,1,0.055,0.631,0.383,0.324,0.005,0.12,0.887,0.734,0,0.671,0.444,0.26,0.899,0.884,-1.016,9520
4202,3,0,0.988,0.457,0.091,0.571,0.657,0.499,0.357,0.571,0,0.459,0.426,0.646,0.315,0.812,3.8085,6434
4203,3,0,0.427,0.653,0.221,0.672,0.008,0.702,0.244,0.063,1,0.174,0.733,0.17,0.68,0.12,8.5955,1875
4204,3,1,0.023,0.835,0.781,0.355,0.438,0.557,0.276,0.67,1,0.735,0.756,0.572,0.477,0.291,4.8645,5353
4205,3,1,0.496,0.472,0.424,0.587,0.23,0.208,0.869,0.01,0,0.655,0.117,0.062,0.261,0.328,5.6755,4512
4206,3,0,0.358,0.453,0.129,0.022,0.161,0.304,0.611,0.04,0,0.268,0.067,0.357,0.246,0.873,3.7195,6511
4207,3,1,0.055,0.566,0.675,0.32,0.887,0.889,0.817,0.433,1,0.069,0.937,0.991,0.859,0.827,7.5445,2739
4208,3,0,0.293,0.58,0.456,0.948,0.21,0.457,0.908,0.489,0,0.049,0.599,0.151,0.931,0.847,5.8445,4351
4209,3,0,0.797,0.693,0.012,0.52,0.726,0.44,0.552,0.392,1,0.445,0.463,0.956,0.623,0.292,4.648,5606
4210,3,0,0.526,0.186,0.021,0.501,0.523,0.329,0.86,0.102,0,0.522,0.956,0.918,0.211,0.162,-0.498,9353
4211,3,1,0.672,0.335,0.474,0.44,0.755,0.217,0.653,0.452,0,0.202,0.094,0.923,0.697,0.241,3.3805,6841
4212,3,0,0.842,0.821,0.08,0.628,0.684,0.641,0.242,0.754,1,0.089,0.035,0.363,0.882,0.698,8.6455,1841
4213,3,1,0.198,0.525,0.412,0.038,0.981,0.832,0.037,0.582,1,0.849,0.062,0.755,0.646,0.681,8.458,1978
4214,3,1,0.076,0.437,0.699,0.807,0.496,0.576,0.598,0.301,1,0.023,0.526,0.72,0.897,0.365,9.717,1212
4215,3,1,0.646,0.951,0.724,0.072,0.788,0.258,0.23,0.87,0,0.729,0.285,0.378,0.543,0.966,1.6735,8243
4216,3,1,0.166,0.432,0.782,0.521,0.105,0.798,0.239,0.408,0,0.196,0.721,0.557,0.479,0.866,7.949,2379
4217,3,1,0.832,0.409,0.684,0.033,0.07,0.706,0.898,0.729,1,0.717,0.899,0.869,0.961,0.954,3.4085,6811
4218,3,0,0.38,0.072,0.891,0.511,0.981,0.436,0.455,0.421,1,0.402,0.413,0.898,1,0.383,7.6175,2690
4219,3,1,0.51,0.062,0.127,0.098,0.966,0.218,0.523,0.592,0,0.27,0.142,0.124,0.245,0.969,0.1845,9074
4220,3,1,0.877,0.441,0.301,0.48,0.943,0.312,0.381,0.901,1,0.31,0.372,0.833,0.115,0.661,3.07,7095
4221,3,1,0.794,0.432,0.032,0.488,0.527,0.374,0.043,0.828,0,0.856,0.054,0.826,0.527,0.301,1.9595,8029
4222,3,0,0.865,0.253,0.802,0.038,0.947,0.012,0.256,0.08,0,0.336,0.206,0.005,0.361,0.097,2.471,7630
4223,3,0,0.076,0.743,0.236,0.372,0.603,0.485,0.588,0.961,0,0.635,0.549,0.701,0.617,0.738,0.1165,9109
4224,3,0,0.681,0.509,0.17,0.439,0.259,0.001,0.982,0.172,0,0.702,0.699,0.057,0.812,0.833,-0.706,9422
4225,3,1,0.359,0.29,0.61,0.362,0.756,0.738,0.548,0.091,1,0.641,0.08,0.7,0.699,0.153,11.1295,614
4226,3,1,0.716,0.111,0.423,0.647,0.762,0.458,0.378,0.429,0,0.321,0.121,0.459,0.915,0.923,7.156,3079
4227,3,0,0.925,0.095,0.663,0.418,0.86,0.159,0.948,0.295,0,0.514,0.538,0.97,0.374,0.782,2.3745,7699
4228,3,0,0.854,0.099,0.358,0.27,0.677,0.952,0.405,0.559,0,0.694,0.499,0.585,0.425,0.984,6.358,3823
4229,3,0,0.475,0.303,0.349,0.468,0.143,0.228,0.894,0.431,0,0.737,0.653,0.014,0.745,0.486,0.147,9096
4230,3,0,0.642,0.44,0.386,0.561,0.285,0.513,0.781,0.95,1,0.864,0.749,0.863,0.022,0.507,2.2665,7784
4231,3,0,0.96,0.749,0.881,0.251,0.404,0.678,0.337,0.899,0,0.972,0.668,0.543,0.864,0.363,3.3185,6884
4232,3,0,0.744,0.499,0.201,0.977,0.06,0.638,0.697,0.995,0,0.648,0.734,0.518,0.057,0.524,2.784,7347
4233,3,0,0.122,0,0.179,0.602,0.964,0.251,0.055,0.424,0,0.553,0.688,0.565,0.105,0.401,0.505,8925
4234,3,1,0.096,0.43,0.827,0.862,0.652,0.084,0.347,0.106,0,0.741,0.675,0.847,0.629,0.747,5.266,4954
4235,3,0,0.034,0.999,0.344,0.534,0.333,0.021,0.469,0.17,1,0.169,0.536,0,0.286,0.017,3.172,7002
4236,3,1,0.126,0.269,0.266,0.751,0.037,0.731,0.03,0.901,0,0.36,0.365,0.875,0.167,0.197,4.7545,5483
4237,3,0,0.55,0.418,0.618,0.951,0.94,0.43,0.999,0.167,0,0.778,0.298,0.167,0.59,0.457,8.3325,2080
4238,3,1,0.816,0.954,0.803,0.217,0.269,0.759,0.009,0.009,1,0.535,0.942,0.334,0.842,0.243,9.064,1588
4239,3,0,0.481,0.07,0.93,0.727,0.6,0.061,0.127,0.875,1,0.637,0.198,0.622,0.594,0.885,5.6705,4519
4240,3,1,0.517,0.165,0.353,0.109,0.84,0.353,0.771,0.036,0,0.76,0.938,0.892,0.985,0.999,0.682,8834
4241,3,1,0.763,0.465,0.223,0.196,0.562,0.187,0.146,0.087,0,0.228,0.675,0.153,0.677,0.962,1.5875,8296
4242,3,0,0.279,0.274,0.742,0.971,0.244,0.831,0.436,0.566,0,0.387,0.024,0.87,0.502,0.79,12.49,260
4243,3,1,0.137,0.899,0.744,0.349,0.811,0.311,0.062,0.823,1,0.656,0.205,0.261,0.714,0.745,5.764,4423
4244,3,0,0.788,0.392,0.404,0.037,0.154,0.349,0.032,0.285,0,0.988,0.798,0.758,0.761,0.555,0.2705,9035
4245,3,0,0.861,0.66,0.564,0.969,0.941,0.809,0.866,0.126,1,0.266,0.108,0.314,0.203,0.329,14.988,31
4246,3,0,0.67,0.378,0.078,0.755,0.323,0.173,0.143,0.984,1,0.237,0.655,0.739,0.976,0.493,0.467,8941
4247,3,0,0.289,0.603,0.403,0.816,0.441,0.83,0.485,0.119,1,0.634,0.679,0.673,0.336,0.347,10.808,713
4248,3,1,0.287,0.485,0.054,0.936,0.244,0.465,0.591,0.6,1,0.463,0.876,0.291,0.319,0.286,3.471,6758
4249,3,0,0.101,0.968,0.797,0.538,0.17,0.935,0.988,0.084,0,0.321,0.842,0.867,0.792,0.776,9.762,1194
4250,3,0,0.221,0.668,0.811,0.013,0.129,0.023,0.173,0.923,1,0.487,0.853,0.842,0.299,0.069,-2.9215,9881
4251,3,1,0.635,0.933,0.499,0.564,0.498,0.573,0.224,0.2,1,0.454,0.237,0.785,0.288,0.729,11.108,622
4252,3,0,0.096,0.705,0.239,0.243,0.689,0.33,0.946,0.484,1,0.931,0.644,0.715,0.686,0.646,1.4815,8362
4253,3,1,0.601,0.316,0.405,0.839,0.888,0.546,0.04,0.779,0,0.795,0.103,0.148,0.691,0.282,6.375,3797
4254,3,1,0.15,0.72,0.248,0.116,0.583,0.029,0.791,0.488,0,0.715,0.762,0.345,0.7,0.065,-4.702,9986
4255,3,0,0.96,0.731,0.756,0.49,0.868,0.371,0.759,0.803,1,0.251,0.171,0.899,0.048,0.181,6.17,4021
4256,3,1,0.716,0.783,0.403,0.733,0.756,0.97,0.755,0.427,1,0.296,0.066,0.285,0.519,0.431,13.4565,123
4257,3,0,0.055,0.354,0.645,0.081,0.509,0.06,0.533,0.376,0,0.452,0.736,0.367,0.408,0.098,-2.3255,9808
4258,3,0,0.108,0.295,0.211,0.119,0.194,0.984,0.868,0.368,0,0.176,0.897,0.994,0.749,0.186,2.658,7469
4259,3,1,0.177,0.88,0.375,0.922,0.352,0.82,0.44,0.336,0,0.48,0.642,0.213,0.679,0.033,8.118,2247
4260,3,1,0.731,0.173,0.968,0.484,0.887,0.959,0.991,0.07,1,0.551,0.937,0.028,0.317,0.704,11.257,578
4261,3,0,0.104,0.745,0.158,0.995,0.862,0.27,0.392,0.004,0,0.318,0.123,0.232,0.675,0.695,8.4205,2003
4262,3,1,0.244,0.736,0.217,0.861,0.488,0.702,0.147,0.962,1,0.287,0.835,0.873,0.56,0.541,5.183,5042
4263,3,0,0.223,0.591,0.736,0.788,0.704,0.638,0.255,0.703,1,0.221,0.629,0.778,0.411,0.817,8.8905,1691
4264,3,0,0.634,0.361,0.664,0.327,0.49,0.204,0.814,0.664,1,0.005,0.865,0.798,0.725,0.136,0.3435,9006
4265,3,1,0.196,0.702,0.661,0.019,0.304,0.392,0.031,0.971,0,0.206,0.266,0.009,0.107,0.92,1.736,8194
4266,3,1,0.19,0.387,0.451,0.609,0.617,0.526,0.913,0.031,1,0.96,0.026,0.234,0.766,0.173,10.1205,1007
4267,3,1,0.902,0.584,0.689,0.289,0.231,0.582,0.209,0.31,0,0.801,0.475,0.218,0.352,0.778,6.5245,3664
4268,3,1,0.718,0.219,0.195,0.736,0.661,0.304,0.816,0.601,0,0.446,0.331,0.244,0.858,0.416,2.395,7683
4269,3,1,0.023,0.763,0.862,0.382,0.678,0.663,0.603,0.437,0,0.433,0.589,0.511,0.62,0.812,6.705,3494
4270,3,1,0.337,0.908,0.218,0.414,0.499,0.648,0.304,0.653,0,0.492,0.287,0.176,0.056,0.857,5.238,4985
4271,3,1,0.068,0.986,0.098,0.243,0.307,0.345,0.639,0.526,0,0.669,0.011,0.626,0.471,0.714,2.7995,7335
4272,3,1,0.069,0.462,0.318,0.303,0.01,0.471,0.467,0.527,0,0.482,0.185,0.778,0.819,0.895,4.126,6100
4273,3,0,0.104,0.529,0.94,0.614,0.237,0.273,0.033,0.219,1,0.13,0.556,0.039,0.865,0.807,8.8325,1722
4274,3,0,0.712,0.246,0.573,0.556,0.308,0.798,0.705,0.786,0,0.92,0.305,0.702,0.044,0.389,6.0215,4164
4275,3,1,0.278,0.768,0.543,0.415,0.234,0.116,0.195,0.793,0,0.497,0.602,0.162,0.499,0.833,-0.087,9203
4276,3,0,0.022,0.526,0.173,0.578,0.289,0.431,0.434,0.444,1,0.218,0.245,0.953,0.584,0.489,6.3125,3873
4277,3,0,0.958,0.312,0.046,0.6,0.891,0.764,0.775,0.562,0,0.528,0.674,0.525,0.463,0.082,2.991,7169
4278,3,1,0.239,0.943,0.26,0.143,0.296,0.704,0.571,0.71,0,0.64,0.275,0.489,0.047,0.486,3.3625,6853
4279,3,0,0.228,0.426,0.114,0.277,0.286,0.026,0.788,0.672,1,0.724,0.162,0.695,0.434,0.49,0.004,9164
4280,3,1,0.937,0.609,0.632,0.696,0.914,0.39,0.229,0.681,1,0.641,0.511,0.268,0.121,0.721,6.7775,3431
4281,3,0,0.151,0.601,0.235,0.626,0.845,0.545,0.05,0.947,0,0.114,0.253,0.007,0.707,0.457,3.685,6544
4282,3,0,0.865,0.119,0.232,0.151,0.759,0.362,0,0.859,1,0.424,0.285,0.932,0.563,0.969,2.652,7473
4283,3,1,0.896,0.075,0.759,0.295,0.295,0.696,0.556,0.629,1,0.915,0.593,0.474,0.418,0.41,6.0935,4089
4284,3,0,0.147,0.053,0.408,0.605,0.416,0.389,0.875,0.171,0,0.364,0.138,0.784,0.94,0.133,5.493,4715
4285,3,0,0.954,0.377,0.598,0.75,0.491,0.437,0.463,0.375,0,0.35,0.079,0.785,0.985,0.684,8.61,1862
4286,3,0,0.405,0.205,0.792,0.907,0.012,0.181,0.406,0.398,0,0.271,0.758,0.095,0.596,0.257,3.6225,6596
4287,3,1,0.688,0.135,0.627,0.466,0.852,0.387,0.896,0.829,1,0.583,0.831,0.831,0.918,0.227,1.266,8496
4288,3,0,0.167,0.008,0.631,0.602,0.067,0.781,0.982,0.573,0,0.175,0.522,0.816,0.667,0.671,6.3355,3844
4289,3,1,0.996,0.941,0.4,0.892,0.795,0.594,0.257,0.455,1,0.888,0.587,0.889,0.528,0.446,9.009,1623
4290,3,0,0.243,0.63,0.545,0.057,0.14,0.697,0.729,0.227,0,0.608,0.602,0.715,0.141,0.395,4.207,6025
4291,3,0,0.12,0.944,0.975,0.719,0.871,0.818,0.567,0.034,0,0.55,0.839,0.402,0.235,0.493,10.5755,804
4292,3,0,0.087,0.029,0.008,0.598,0.428,0.691,0.14,0.183,0,0.639,0.702,0.925,0.324,0.488,4.47,5782
4293,3,1,0.169,0.934,0.399,0.491,0.429,0.686,0.694,0.374,0,0.349,0.962,0.233,0.224,0.399,3.6075,6608
4294,3,1,0.81,0.626,0.482,0.078,0.139,0.655,0.809,0.305,1,0.414,0.001,0.026,0.771,0.109,8.2065,2167
4295,3,0,0.875,0.457,0.254,0.287,0.13,0.282,0.042,0.022,1,0.374,0.454,0.044,0.165,0.74,6.1025,4076
4296,3,1,0.108,0.677,0.83,0.567,0.509,0.644,0.802,0.848,1,0.231,0.275,0.316,0.939,0.433,8.155,2213
4297,3,1,0.482,0.515,0.111,0.139,0.024,0.609,0.163,0.203,0,0.574,0.003,0.01,0.266,0.757,6.4225,3757
4298,3,1,0.784,0.486,0.475,0.871,0.006,0.987,0.859,0.261,0,0.141,0.106,0.399,0.418,0.391,12.851,208
4299,3,1,0.544,0.493,0.526,0.685,0.164,0.422,0.075,0.239,0,0.771,0.887,0.304,0.578,0.954,5.0105,5218
4300,3,1,0.548,0.162,0.506,0.648,0.703,0.124,0.913,0.918,0,0.668,0.19,0.687,0.189,0.656,0.889,8716
4301,3,1,0.66,0.756,0.22,0.959,0.263,0.409,0.356,0.395,1,0.575,0.578,0.371,0.863,0.652,7.5025,2778
4302,3,0,0.283,0.04,0.133,0.023,0.182,0.003,0.213,0.693,0,0.228,0.381,0.259,0.408,0.632,-3.8965,9952
4303,3,1,0.327,0.794,0.942,0.516,0.129,0.734,0.554,0.157,1,0.56,0.602,0.774,0.32,0.013,10.568,808
4304,3,1,0.605,0.356,0.156,0.75,0.582,0.098,0.807,0.029,1,0.915,0.545,0.855,0.021,0.629,4.6255,5627
4305,3,1,0.369,0.131,0.605,0.481,0.583,0.744,0.247,0.929,0,0.837,0.343,0.068,0.739,0.728,5.159,5066
4306,3,0,0.287,0.182,0.086,0.532,0.9,0.585,0.603,0.823,1,0.778,0.39,0.689,0.705,0.663,3.947,6275
4307,3,0,0.429,0.925,0.901,0.468,0.891,0.83,0.257,0.878,1,0.42,0.992,0.026,0.902,0.264,6.3025,3886
4308,3,1,0.828,0.143,0.655,0.597,0.001,0.628,0.865,0.827,0,0.366,0.562,0.997,0.546,0.591,4.0795,6148
4309,3,0,1,0.797,0.411,0.224,0.952,0.136,0.905,0.104,1,0.149,0.541,0.866,0.565,0.071,3.051,7109
4310,3,0,0.065,0.899,0.173,0.183,0.623,0.327,0.454,0.386,1,0.55,0.973,0.6,0.691,0.869,0.934,8694
4311,3,1,0.11,0.516,0.244,0.102,0.459,0.913,0.704,0.583,1,0.254,0.903,0.149,0.477,0.857,4.3855,5859
4312,3,0,0.344,0.928,0.244,0.731,0.953,0.989,0.927,0.963,0,0.692,0.639,0.298,0.305,0.874,5.671,4517
4313,3,0,0.193,0.591,0.505,0.275,0.114,0.057,0.031,0.236,1,0.158,0.754,0.324,0.594,0.029,1.522,8333
4314,3,0,0.084,0.942,0.415,0.488,0.297,0.496,0.401,0.281,1,0.964,0.429,0.252,0.689,0.693,7.6585,2642
4315,3,1,0.452,0.543,0.378,0.053,0.985,0.743,0.797,0.332,0,0.6,0.653,0.391,0.058,0.968,3.92,6300
4316,3,0,0.479,0.23,0.023,0.695,0.408,0.859,0.252,0.905,0,0.798,0.401,0.507,0.21,0.674,4.7385,5504
4317,3,1,0.621,0.952,0.045,0.922,0.287,0.563,0.217,0.966,1,0.47,0.175,0.868,0.225,0.444,7.0655,3145
4318,3,1,0.494,0.64,0.898,0.868,0.99,0.396,0.118,0.47,1,0.085,0.902,0.701,0.658,0.111,7.133,3091
4319,3,0,0.737,0.401,0.736,0.417,0.01,0.886,0.286,0.322,1,0.778,0.913,0.776,0.904,0.687,9.067,1584
4320,3,1,0.943,0.593,0.966,0.919,0.321,0.826,0.762,0.088,1,0.365,0.508,0.547,0.168,0.298,14.654,51
4321,3,1,0.026,0.982,0.661,0.746,0.478,0.967,0.652,0.513,0,0.827,0.018,0.175,0.45,0.434,12.0355,361
4322,3,0,0.293,0.106,0.458,0.607,0.703,0.444,0.395,0.225,0,0.805,0.116,0.805,0.577,0.811,7.3855,2889
4323,3,1,0.5,0.24,0.153,0.011,0.869,0.802,0.335,0.597,1,0.363,0.176,0.314,0.561,0.478,5.9085,4285
4324,3,1,0.303,0.647,0.776,0.486,0.503,0.55,0.009,0.911,1,0.1,0.175,0.091,0.747,0.967,8.694,1809
4325,3,0,0.962,0.888,0.82,0.672,0.075,0.579,0.276,0.07,1,0.309,0.114,0.391,0.826,0.938,14.6975,50
4326,3,1,0.698,0.849,0.488,0.912,0.346,0.611,0.701,0.288,1,0.975,0.07,0.28,0.049,0.027,11.66,469
4327,3,0,0.286,0.068,0.688,0.08,0.003,0.26,0.487,0.701,0,0.19,0.684,0.233,0.726,0,-2.064,9759
4328,3,1,0.087,0.043,0.72,0.807,0.29,0.787,0.372,0.297,0,0.522,0.072,0.672,0.858,0.956,12.2535,310
4329,3,1,0.091,0.596,0.096,0.008,0.388,0.575,0.666,0.633,0,0.416,0.781,0.512,0.763,0.77,-1.1235,9549
4330,3,1,0.547,0.544,0.048,0.093,0.923,0.993,0.835,0.247,0,0.929,0.479,0.937,0.433,0.502,5.242,4977
4331,3,1,0.966,0.254,0.352,0.897,0.927,0.608,0.554,0.884,0,0.337,0.858,0.806,0.216,0.78,3.2315,6964
4332,3,0,0.83,0.73,0.712,0.314,0.115,0.652,0.196,0.695,0,0.267,0.85,0.151,0.482,0.827,3.965,6259
4333,3,1,0.535,0.307,0.643,0.285,0.06,0.251,0.597,0.915,0,0.35,0.345,0.138,0.979,0.062,-0.3995,9309
4334,3,1,0.284,0.315,0.325,0.839,0.603,0.653,0.558,0.375,1,0.927,0.243,0.811,0.536,0.322,9.5475,1322
4335,3,1,0.109,0.29,0.5,0.1,0.162,0.942,0.487,0.311,0,0.501,0.389,0.006,0.671,0.599,7.0415,3165
4336,3,1,0.878,0.92,0.945,0.275,0.741,0.842,0.113,0.753,0,0.972,0.374,0.326,0.641,0.637,7.9715,2365
4337,3,0,0.718,0.656,0.995,0.099,0.83,0.286,0.736,0.994,1,0.748,0.658,0.649,0.356,0.08,0.528,8914
4338,3,0,0.361,0.272,0.444,0.025,0.813,0.633,0.494,0.861,0,0.278,0.231,0.719,0.534,0.029,1.368,8438
4339,3,0,0.716,0.49,0.373,0.458,0.588,0.599,0.834,0.496,1,0.335,0.558,0.428,0.002,0.494,5.8915,4305
4340,3,0,0.497,0.079,0.802,0.464,0.52,0.335,0.198,0.319,1,0.275,0.917,0.975,0.962,0.95,5.445,4760
4341,3,1,0.123,0.664,0.623,0.784,0.715,0.143,0.466,0.598,0,0.745,0.98,0.776,0.594,0.872,0.861,8736
4342,3,0,0.626,0.607,0.231,0.848,0.323,0.347,0.712,0.87,1,0.859,0.68,0.84,0.609,0.218,2.2955,7754
4343,3,0,0.905,0.225,0.403,0.289,0.18,0.42,0.027,0.575,0,0.77,0.424,0.964,0.768,0.682,2.7105,7436
4344,3,0,0.998,0.587,0.726,0.683,0.014,0.665,0.253,0.964,1,0.656,0.03,0.134,0.217,0.444,9.84,1147
4345,3,0,0.175,0.533,0.634,0.635,0.144,0.178,0.839,0.261,0,0.416,0.727,0.466,0.638,0.141,1.98,8010
4346,3,0,0.186,0.41,0.198,0.844,0.295,0.518,0.071,0.857,0,0.225,0.057,0.669,0.181,0.03,4.9505,5275
4347,3,1,0.5,0.832,0.254,0.776,0.386,0.012,0.576,0,0,0.919,0.759,0.511,0.118,0.606,2.1525,7879
4348,3,0,0.996,0.629,0.829,0.203,0.073,0.309,0.529,0.801,1,0.652,0.341,0.572,0.206,0.98,4.835,5389
4349,3,1,0.819,0.893,0.686,0.048,0.9,0.136,0.017,0.669,1,0.263,0.759,0.443,0.924,0.752,1.214,8528
4350,3,0,0.481,0.989,0.487,0.484,0.014,0.441,0.711,0.446,1,0.255,0.581,0.159,0.224,0.412,5.77,4414
4351,3,0,0.096,0.377,0.413,0.361,0.79,0.984,0.327,0.192,1,0.573,0.395,0.02,0.949,0.039,10.264,927
4352,3,1,0.673,0.958,0.046,0.253,0.172,0.554,0.155,0.989,0,0.657,0.935,0.084,0.918,0.857,-1.6425,9686
4353,3,0,0.258,0.196,0.96,0.747,0.304,0.372,0.211,0.662,0,0.609,0.88,0.081,0.658,0.476,3.3645,6851
4354,3,1,0.146,0.219,0.092,0.44,0.069,0.784,0.599,0.526,1,0.185,0.747,0.165,0.164,0.775,5.238,4984
4355,3,0,0.096,0.045,0.311,0.859,0.492,0.764,0.911,0.664,1,0.686,0.878,0.523,0.286,0.745,5.8975,4298
4356,3,0,0.201,0.104,0.261,0.509,0.337,0.185,0.398,0.175,1,0.92,0.155,0.826,0.167,0.309,5.229,5001
4357,3,1,0.713,0.504,0.432,0.65,0.552,0.879,0.472,0.916,1,0.8,0.535,0.846,0.726,0.692,7.7815,2548
4358,3,1,0.324,0.329,0.402,0.523,0.723,0.74,0.316,0.316,0,0.089,0.727,0.644,0.454,0.1,5.2085,5016
4359,3,0,0.264,0.249,0.541,0.925,0.65,0.77,0.232,0.035,1,0.152,0.232,0.962,0.706,0.58,14.557,56
4360,3,0,0.595,0.854,0.895,0.836,0.905,0.683,0.424,0.09,0,0.799,0.244,0.671,0.072,0.206,12.191,325
4361,3,1,0.579,0.08,0.231,0.591,0.807,0.386,0.166,0.868,0,0.821,0.915,0.54,0.972,0.723,-1.0705,9537
4362,3,1,0.953,0.111,0.603,0.603,0.509,0.262,0.424,0.505,1,0.513,0.18,0.643,0.627,0.22,6.335,3846
4363,3,1,0.593,0.942,0.454,0.853,0.708,0.183,0.434,0.879,0,0.473,0.133,0.213,0.803,0.832,4.301,5955
4364,3,0,0.574,0.435,0.506,0.881,0.182,0.658,0.534,0.758,1,0.198,0.97,0.108,0.236,0.742,6.255,3938
4365,3,1,0.023,0.12,0.101,0.31,0.195,0.522,0.614,0.704,0,0.683,0.721,0.155,0.026,0.321,-1.3375,9618
4366,3,0,0.659,0.648,0.347,0.235,0.765,0.203,0.768,0.264,1,0.485,0.68,0.918,0.184,0.174,1.695,8228
4367,3,0,0.895,0.076,0.168,0.085,0.57,0.244,0.734,0.231,0,0.447,0.484,0.849,0.909,0.342,-0.447,9325
4368,3,1,0.656,0.083,0.921,0.125,0.591,0.69,0.159,0.881,1,0.602,0.217,0.773,0.954,0.184,6.566,3625
4369,3,1,0.563,0.115,0.615,0.186,0.747,0.092,0.308,0.226,1,0.775,1,0.232,0.729,0.162,-0.06,9192
4370,3,1,0.826,0.96,0.482,0.672,0.085,0.411,0.017,0.415,1,0.507,0.66,0.936,0.108,0.937,7.709,2600
4371,3,1,0.063,0.047,0.262,0.056,0.459,0.587,0.695,0.712,1,0.246,0.881,0.643,0.182,0.147,-0.46,9335
4372,3,0,0.355,0.295,0.28,0.046,0.95,0.385,0.361,0.78,1,0.693,0.245,0.367,0.06,0.683,2.0945,7926
4373,3,0,0.578,0.552,0.404,0.172,0.798,0.988,0.582,0.382,0,0.574,0.933,0.06,0.619,0.863,5.0715,5160
4374,3,0,0.357,0.656,0.914,0.316,0.102,0.741,0.618,0.799,0,0.155,0.196,0.702,0.453,0.727,7.4185,2854
4375,3,1,0.128,0.708,0.259,0.125,0.932,0.031,0.998,0.81,1,0.13,0.322,0.263,0.635,0.057,-1.9565,9743
4376,3,0,0.119,0.166,0.846,0.88,0.568,0.05,0.051,0.089,0,0.481,0.881,0.03,0.27,0.365,3.8155,6428
4377,3,0,0.082,0.589,0.733,0.545,0.713,0.011,0.143,0.35,1,0.538,0.002,0.302,0.948,0.12,6.383,3788
4378,3,1,0.929,0.696,0.452,0.173,0.703,0.791,0.251,0.434,0,0.343,0.983,0.246,0.358,0.338,3.161,7009
